Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1001
141AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"AMPATH: 141;
ICD-11-WHO: 1A07.Z;
ICPC2: D70;
PIH: 141;
SNOMED CT: 4834000;
IMO ProblemIT: 24925;
CIEL: 141;
3BT: 30000308;
ICD-10-WHO: A01.0",TYPHOID FEVER,,,,,,Diagnosis,N/A,,,,
c648488d-36b6-4052-836d-fc404b7f851e,,,SEXUALLY TRANSMITTED INFECTIONS ,,,,,,Misc,N/A,,,,
111633AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"SNOMED CT: 68566005;
IMO ProblemIT: 11857;
PIH: 55;
AMPATH: 224;
CIEL: 111633;
AMPATH: 55",URINARY TRACT INFECTION,,,,,,Diagnosis,N/A,,,,
a9442b41-1cd0-4ad5-83b6-3268d328d695,,,Bilharzia (Schistosomiasis),,,,,,Misc,N/A,,,,
7786fec7-dbdc-414f-890f-b6176ae31f2b,,,INTESTINAL WORMS,,,,,,Misc,N/A,,,,
a2e4abc9-d4a9-419b-af6e-a68785a8c573,,,MALNUTRITION,,,,,,Misc,N/A,,,,
121629AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"ICPC2: B82;
CIEL: 121629;
AMPATH: 3;
SNOMED CT: 271727000;
IMO ProblemIT: 37980;
AMPATH: 6030;
PIH: 3",ANAEMIA,,,,,,Diagnosis,N/A,,,,
8a1c4638-89df-4ed0-b2d8-0ed1c6f750a1,,,EYE INFECTIONS,,,,,,Misc,N/A,,,,
141585AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"CIEL: 141585;
SNOMED CT: 300197009;
IMO ProblemIT: 736012",EAR INFECTION/CONDITIONS,,,,,,Diagnosis,N/A,,,,
d98f8b04-920c-4908-a722-93a34efa3684,,,UPPER RESPIRATORY TRACT INFECTIONS,,,,,,Misc,N/A,,,,
121375AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"CIEL: 121375;
PIH: 5;
SNOMED CT: 195967001;
IMO ProblemIT: 94262;
ICD-10-WHO: J45.9;
AMPATH: 5;
PIH Malawi: 5;
AMPATH: 137",ASTHMA,,,,,,Diagnosis,Coded,,,,
114100AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"PIH: 43;
CIEL: 114100;
AMPATH: 43;
3BT: 10081596;
ICD-10-WHO: J18.9;
IMO ProblemIT: 87580;
AMPATH: 5969;
ICPC2: R81;
SNOMED CT: 233604007",PNEUMONIA,,,,,,Diagnosis,N/A,,,,
a4744bfc-034f-46ff-8996-033bcbaa374d,,,OTHER DIS. OF RESPIRATORY SYSTEM,,,,,,Misc,N/A,,,,
075a227e-f9ed-4b88-ac13-0d253ba15567,,,ABORTION,,,,,,Misc,N/A,,,,
0e6a103e-92b3-4d28-a7c9-f12987039470,,,DIS. OF PUERPERIUM & CHILDBATH,,,,,,Misc,N/A,,,,
117399AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"SNOMED CT: 38341003;
IMO ProblemIT: 86491;
CIEL: 117399;
ANCDAK: ANC.B6.DE96",HYPERTENSION,,,,,,Diagnosis,N/A,,,,
77AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"AMPATH: 77;
CIEL: 77;
SNOMED CT: 74732009",MENTAL DISORDERS,,,,,,ConvSet,N/A,,,,
b30ad39e-e46f-4e74-a587-f91d66a8e9ac,,,DENTAL  DISORDERS,,,,,,Misc,N/A,,,,
7a61f196-32a4-4066-b493-d90b9b9177fd,,,JIGGERS INFESTATION,,,,,,Misc,N/A,,,,
898c8c12-f95d-4f84-a9e1-5be87c52451c,,,DISEASE OF THE SKIN,,,,,,Misc,N/A,,,,
70b56907-cbe6-4796-868e-2ba0dcfba833,,,"ANTHRITIS, JOINT PAINS",,,,,,Misc,N/A,,,,
47a1132d-999b-42f3-8114-99a1e650bb2e,,,POISONING,,,,,,Misc,N/A,,,,
eabdbb3c-f9da-469a-8405-c97061df3bed,,,ROAD TRAFFIC INJURIES,,,,,,Misc,N/A,,,,
ee534d5b-6320-4790-bfcc-a47e09964351,,,DEATH DUE TO ROAD TRAFFIC INJURIES,,,,,,Misc,N/A,,,,
1534e0f1-eece-470f-bf5a-ee03a865e7a6,,,OTHER INJURIES,,,,,,Misc,N/A,,,,
59d3ee16-4941-42b2-b05c-a9cab5aeeb53,,,SEXUAL Violence,,,,,,Misc,N/A,,,,
2cb58ab3-ddd3-49ed-b2fa-aae6bf9e2ee6,,,VIOLENCE RELATED INJURIES,,,,,,Misc,N/A,,,,
6cc751f9-46eb-4565-891d-5f6e69be68d8,,,BURNS,,,,,,Misc,N/A,,,,
a6003e2f-9c03-4f81-838f-7dcd4059a8bc,,,SNAKE BITES,,,,,,Misc,N/A,,,,
e5095f5d-aaa7-48d0-bd3c-859206292423,,,DOG BITES,,,,,,Misc,N/A,,,,
4bfbdee8-2574-4ed3-b9e3-295ae2bc6754,,,OTHER BITES,,,,,,Misc,N/A,,,,
119481AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"SNOMED CT: 73211009;
AMPATH: 175;
ICD-10-WHO: E14.9;
PIH: 3720;
ANCDAK: ANC.B6.DE91;
IMO ProblemIT: 29688;
CIEL: 119481;
PIH Malawi: 3720",DIABETES,,,,,,Diagnosis,Coded,,,,
49e1df9a-fa8d-473d-9951-5ded5c4c0374,,,EPILEPSY,,,,,,Misc,N/A,,,,
61093353-d66a-4929-96ce-790dc0f77e3f,,,BRUCELLOSIS,,,,,,Misc,N/A,,,,
409ef0af-06d2-4b93-a79e-63b66ca58d9e,,,CARDIOVASCULAR CONDITIONS,,,,,,Misc,N/A,,,,
3323a2ea-c61a-4d37-adf0-525613d6381b,,,CENTRAL NERVOUS SYSTEM CONDITIONS,,,,,,Misc,N/A,,,,
114413AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"IMO ProblemIT: 50813;
PIH: 3230;
ANCDAK: ANC.B8.DE8;
SNOMED CT: 238131007;
ICPC2: T83;
CIEL: 114413;
3BT: 10077209",OVERWEIGHT (BMI > 25),,,,,,Diagnosis,N/A,,,,
04e9c3bd-983b-463d-90d1-0acf07428ee3,,,MUSCULAR SKELETAL CONDITIONS,,,,,,Misc,N/A,,,,
8ba52158-f72a-462f-becd-2b66c762156f,,,FISTULA (BIRTH RELATED),,,,,,Misc,N/A,,,,
24504273-7e73-4579-b7c4-f945ab59599b,,,Suspected Neoplams/Cancers,,,,,,Misc,N/A,,,,
2d4795df-4571-46a5-b873-2e602bfbf3a5,,,PHYSICAL DISABILITY,,,,,,Misc,N/A,,,,
7554c625-e185-4c6c-9753-6506e5e2b85f,,,TRYPANOSOMIASIS,,,,,,Misc,N/A,,,,
8a92e557-c5ef-48d0-a11c-17b162e496ad,,,Rift valley fever,,,,,,Misc,N/A,,,,
242f88d1-7932-4c7a-8fd0-709ec0559ccf,,,YELLOW FEVER,,,,,,Misc,N/A,,,,
fd662a59-6041-4ce8-8374-c64820217579,,,VIRAL HAEMORRHAGIC FEVER,,,,,,Misc,N/A,,,,
a7da8354-af53-4a83-a9a4-7a42c956c734,,,Chikungunya,,,,,,Misc,N/A,,,,
0dfdb6a2-6232-40ee-9676-41e8871b6588,,,Dengue fever,,,,,,Misc,N/A,,,,
526bda40-2fce-45fd-8ba9-c1921a25d5f6,,,KALAZAR (LEISHMANIASIS),,,,,,Misc,N/A,,,,
5e642c96-cbe6-4837-8082-444e87b1d413,,,Cutaneous leishmaniasis,,,,,,Misc,N/A,,,,
81a94f45-a08a-439e-9daa-d48b4185dcdf,,,Suspected Anthrax,,,,,,Misc,N/A,,,,
4bad9c83-b6bd-4c02-995b-d6216f880c13,,,Diarrhoea with no dehydration,,,,,,Misc,N/A,,,,
4d01f205-1c40-42b3-b1e2-395179d7fcb5,,,Diarrhoea with some dehydration,,,,,,Misc,N/A,,,,
d97d9d7d-03c5-43da-a115-5e8a4a7adaca,,,Diarrhoea with severe dehydration,,,,,,Misc,N/A,,,,
f7b62c18-afa4-4428-8b63-08391cf210f2,,,Dysentery (Bloody diarrhoea),,,,,,Misc,N/A,,,,
1768581a-3a0a-4625-8ad6-5bf61f2df635,,,Gastroenteritis,,,,,,Misc,N/A,,,,
4e6adce2-efd5-4b3b-bb54-ba69a78e4861,,,Severe pneumonia,,,,,,Misc,N/A,,,,
d98f8b04-920c-4908-a722-93a34efa3684,,,Upper Respiratory Tract Infections,,,,,,Misc,N/A,,,,
6f331880-20b1-4c29-8707-d6907ea3f523,,,Lower Respiratory Tract Infections,,,,,,Misc,N/A,,,,
762c26e6-9db3-404a-8344-e69b95360366,,,Presumed Tuberculosis,,,,,,Misc,N/A,,,,
ab01a44e-5a44-4d36-a8e4-8794d8026222,,,Suspected/Tested Malaria,,,,,,Misc,N/A,,,,
110d072b-fa9c-4898-aa0e-63846c79d1f1,,,Confirmed Malaria (only positive cases),,,,,,Misc,N/A,,,,
a2e4abc9-d4a9-419b-af6e-a68785a8c573,,,Malnutrition,,,,,,Misc,N/A,,,,
72444092-9956-47da-8897-b76e4718c22f,,,Meningococcal Meningitis,,,,,,Misc,N/A,,,,
5f373b9c-93fe-4371-8fa8-39c05aed4323,,,Other  Menigitis,,,,,,Misc,N/A,,,,
4893d13a-b25f-430d-a465-a35170846287,,,Neonatal Sepsis,,,,,,Misc,N/A,,,,
eb4725ba-27b0-4cac-bc90-08d484339b1c,,,Neonatal Tetanus,,,,,,Misc,N/A,,,,
264d3b5e-0cda-47cf-bd1a-9c8f71313cff,,,Poliomyelitis (AFP),,,,,,Misc,N/A,,,,
598d46d5-48d0-4c00-8844-4e875b03a08b,,,Tonsilities,,,,,,Misc,N/A,,,,
94ee72e9-0994-400a-bc08-11c588c95a08,,,Down’s syndrome,,,,,,Misc,N/A,,,,
d936bc48-6f7f-4802-b4a6-aa9c0108cd24,,,Other Convulsive Disorders,,,,,,Misc,N/A,,,,
86a54095-110e-4154-a3e7-b2c570211ac8,,,Rheumatic Fever,,,,,,Misc,N/A,,,,
4008f0a7-8f1b-4861-83c0-fcf69138fc25,,,Rickets,,,,,,Misc,N/A,,,,
b4e20a88-3a3d-47c8-9820-8bef2b76e1c7,,,Cerebral Palsy,,,,,,Misc,N/A,,,,
e449a59d-e666-4b5b-9f66-a5cf870358e8,,,Autism,,,,,,Misc,N/A,,,,
81a94f45-a08a-439e-9daa-d48b4185dcdf,,,Suspected Anthrax,,,,,,Misc,N/A,,,,
d3d9bae4-0b96-4347-8ed6-b3bcd8f84363,,,Suspected Childhood Cancers,,,,,,Misc,N/A,,,,
0b3caef5-ead8-4a32-a3d9-45b7933b6165,,,Hypoxaemia (Spo2<90%),,,,,,Misc,N/A,,,,
759bf916-5549-4fe1-a588-a399ba04dfd5,,,Diagnosis/Impressions,,,,,,Question,Coded,"Diarrhoea;
TUBERCULOSIS;
DYSENTERY (BLOODY DIARRHEA);
CHOLERA;
MENINGOCOCCAL MENINGITIS;
OTHER MENINGITIS;
TETANUS;
POLIOMYELITIS(AFP);
CHICKEN POX;
MEASLES;
HEPATITIS;
MUMPS;
SUSPECTED/TESTED MALARIA;
CONFIRMED MALARIA (Only positive cases);
MALARIA IN PREGNANCY; 
Amoebiasis;
TYPHOID FEVER;
SEXUALLY TRANSMITTED INFECTIONS; 
URINARY TRACT INFECTION;
Bilharzia (Schistosomiasis);
INTESTINAL WORMS;
MALNUTRITION;
ANEAMIA;
EYE INFECTIONS;
EAR INFECTION/CONDITIONS;
UPPER RESPIRATORY TRACT INFECTIONS;
ASTHMA;
PNEUMONIA;
OTHER DIS. OF RESPIRATORY SYSTEM;
ABORTION;
DIS. OF PUERPERIUM & CHILDBATH;
HYPERTENSION;
MENTAL DISORDERS;
DENTAL  DISORDERS;
JIGGERS INFESTATION;
DISEASE OF THE SKIN;
ANTHRITIS, JOINT PAINS;
POISONING;
ROAD TRAFFIC INJURIES;
DEATH DUE TO ROAD TRAFFIC INJURIES;
OTHER INJURIES;
SEXUAL Violence;
VIOLENCE RELATED INJURIES;
BURNS;
SNAKE BITES;
DOG BITES;
OTHER BITES;
DIABETES;
EPILEPSY;
BRUCELLOSIS;
CARDIOVASCULAR CONDITIONS;
CENTRAL NERVOUS SYSTEM CONDITIONS;
OVRERWEIGHT (BMI > 25);
MUSCULAR SKELETAL CONDITIONS;
FISTULA (BIRTH RELATED);
Suspected Neoplams/Cancers;
PHYSICAL DISABILITY;
TRYPONOMIASIS;
Rift valley fever;
YELLOW FEVER;
VIRAL HAEMORRHAGIC FEVER;
Chikungunya;
Dengue fever;
KALAZAR (LEISHMANIASIS);
Cutaneous leishmaniasis;
Suspected Anthrax;
Diarrhoea with no dehydration;
Diarrhoea with some dehydration;
Diarrhoea with severe dehydration;
Cholera;
Dysentery (Bloody diarrhoea);
Gastroenteritis;
Pneumonia;
Severe pneumonia;
Upper Respiratory Tract Infections;
Lower Respiratory Tract Infections;
Asthma;
Presumed Tuberculosis;
Suspected/Tested Malaria;
Confirmed Malaria (only positive cases);
Ear Infections/ Conditions;
Malnutrition;
Anaemia;
Meningococcal Meningitis;
Other  Menigitis;
Neonatal Sepsis;
Neonatal Tetanus;
Poliomyelitis (AFP);
Chicken Pox;
Measles;
Hepatitis;
Amoebiasis;
Mumps;
Typhoid fever;
Bilharzia (Schistosomiasis);
Interstinal worms;
Eye Infections;
Tonsilities;
Urinary Tract Infection;
Mental Disorders;
Dental Disorders;
Jiggers Infestation;
Diseases of the skin;
Down’s syndrome;
Poisoning;
Road Traffic Injuries;
Deaths due to Road Trafic injuries;
Violence related  injuries;
Other Injuries;
Sexual Violence;
Burns;
Snake Bites;
Dog bites;
Other Bites;
Diabetes;
Epilepsy;
Other Convulsive Disorders;
Rheumatic Fever;
Brucellosis;
Rickets;
Cerebral Palsy;
Autism;
Tryponosomiasis;
Yellow Fever;
Viral Haemorrhagic Fever;
Rift valley fever;
Chikungunya;
Dengue fever;
Kalaar (Leishmaniaisis);
Cutaneous leishmaniasis;
Suspected Anthrax;
Suspected Childhood Cancers;
Hypoxaemia (Spo2<90%);
Other",,,
410d7684-2045-4eff-9af3-1fb57a406123,,,Other Diseases,,,,,,Question,Text,,,,
b0fef4a0-a77b-4cce-8a1b-d60d2bcd6e8e,,,OTHER MENINGITIS Specify,,,,,,Question,Text,,,,
4dbab2e3-d47d-49dc-8dbe-e9a83567f230,,,Other Convulsive Disorders Specify,,,,,,Question,Text,,,,
